Time,Flux
0.0,1.1364160826448222
1.0,1.1224307088808922
2.0,1.148976269349319
3.0,1.1557621510494784
4.0,1.180260074719832
5.0,1.1864935402449595
6.0,1.2021819498877182
7.0,1.242827038458998
8.0,1.2651201167380786
9.0,1.254027289446644
10.0,1.2954686690890038
11.0,1.2819431196343716
12.0,1.3142827586116281
13.0,1.3225719843895858
14.0,1.3518748759801975
15.0,1.3389420900995623
16.0,1.3819713882408275
17.0,1.3920952472795565
18.0,1.3957977453591635
19.0,1.4419252644326457
20.0,1.401384972275412
21.0,1.4452399892245296
22.0,1.4371694511813753
23.0,1.408532722169758
24.0,1.3800784297138544
25.0,1.3489811714916131
26.0,1.363438856327867
27.0,1.3139769886081645
28.0,1.2810608751953887
29.0,1.269774544829358
30.0,1.2558844988320452
31.0,1.207985283740279
32.0,1.2015604280393994
33.0,1.1612814987361137
34.0,1.1418218004266347
35.0,1.1380716283587513
36.0,1.1229011692948379
37.0,1.0924014999992342
38.0,1.043321637206363
39.0,1.0290025204571946
40.0,1.0269423181699544
41.0,0.997662376437503
42.0,1.0174577947153347
43.0,1.032947342207539
44.0,1.0517573550379729
45.0,1.062801423729783
46.0,1.0442936819515112
47.0,1.0782170458644684
48.0,1.1420092582367183
49.0,1.1213066921135246
50.0,1.1283960557013426
51.0,1.1633077926666031
52.0,1.1848306410601608
53.0,1.1961892593226486
54.0,1.1833512997469007
55.0,1.2178848439840646
56.0,1.235184349383758
57.0,1.2624045892496103
58.0,1.2612848136568113
59.0,1.2764741430067397
60.0,1.282196509243622
61.0,1.3144665222060354
62.0,1.3082147266475734
63.0,1.3294813117997044
64.0,1.3126682481445384
65.0,1.3752655532528082
66.0,1.377139227079273
67.0,1.3858228976371776
68.0,1.4033761302193908
69.0,1.397928651233974
70.0,1.4354913657607973
71.0,1.4242149042949528
72.0,1.3989167809698475
73.0,1.3980755403272
74.0,1.3837163057434034
75.0,1.3072709575827846
76.0,1.3142413441525578
77.0,1.310690993201777
78.0,1.2962423520807347
79.0,1.2734249580334578
80.0,1.2383331642039503
81.0,1.2169745549145903
82.0,1.177627410968256
83.0,1.1716714864640039
84.0,1.1414157927686683
85.0,1.114128699532792
86.0,1.1016198213647606
87.0,1.0870020585654776
88.0,1.0535019606730722
89.0,1.0226288255416
90.0,0.9983804047628126
91.0,1.009762598351276
92.0,1.036952423780906
93.0,1.0286278208414803
94.0,1.0650107930775958
95.0,1.0693157237465238
96.0,1.0859729665392632
97.0,1.0923508092040486
98.0,1.0940180296309316
99.0,1.113839969969836
100.0,1.1111905171061132
101.0,1.137247830516822
102.0,1.1595333777170191
103.0,1.1972212726732072
104.0,1.1970286787214504
105.0,1.2226773221305214
106.0,1.2439741221616878
107.0,1.2418849029332963
108.0,1.2643096429434848
109.0,1.2646793509492464
110.0,1.2630258098545148
111.0,1.327851028930082
112.0,1.3259925115492135
113.0,1.3418961006083836
114.0,1.3344720553544502
115.0,1.352037797490044
116.0,1.37769893108954
117.0,1.3934204614341683
118.0,1.3880893644620607
119.0,1.4471385565747454
